Control ID	WBS ID	도메인	레이어	항목명	Tier	적용 Stage	Enforcement	Waiver 허용
CTRL-2-2-11	2.2.11	AgentOps	AgentOps/Policy Enforcement Engine	Tool Whitelist 정책 실행 시점 강제 적용	HM	publish	required	X
CTRL-2-2-12	2.2.12	AgentOps	AgentOps/Policy Enforcement Engine	허용 / 금지 행위 규칙 런타임 적용 및 감시	HM	publish	required	X
CTRL-2-2-13	2.2.13	AgentOps	AgentOps/Policy Enforcement Engine	정책 위반 시 즉시 프로세스 종료 및 차단	HM	publish	required	X
CTRL-2-2-14	2.2.14	AgentOps	AgentOps/Policy Enforcement Engine	악의적 프롬프트 주입(Injection) 기초 필터링	HM	publish	required	X
CTRL-2-2-15	2.2.15	AgentOps	AgentOps/Policy Enforcement Engine	Agent별 접근 가능 데이터 범위(Boundary) 정책 실행	M	publish	required	O
CTRL-2-2-16	2.2.16	AgentOps	AgentOps/Policy Enforcement Engine	환경별 정책 분리 적용 (dev / staging / prod 격리)	M	publish	required	O
CTRL-2-2-17	2.2.17	AgentOps	AgentOps/Policy Enforcement Engine	정책 버전 관리 및 이슈 발생 시 즉시 롤백	M	publish	required	O
CTRL-2-2-18	2.2.18	AgentOps	AgentOps/Policy Enforcement Engine	정책 위반 이벤트 실시간 로깅 및 관리자 알림(Alert)	M	publish	required	O
CTRL-2-3-1	2.3.1	AgentOps	AgentOps/Runtime Guardrail	데이터 분류 등급 기반 접근 차단 (기밀 / 극비)	HM	publish	required	X
CTRL-2-3-2	2.3.2	AgentOps	AgentOps/Runtime Guardrail	민감 데이터 노출 차단 (출력 마스킹 및 필터링)	HM	publish	required	X
CTRL-2-3-3	2.3.3	AgentOps	AgentOps/Runtime Guardrail	외부 전송 금지 데이터 차단 (DLP 실시간 실행)	HM	publish	required	X
CTRL-2-3-4	2.3.4	AgentOps	AgentOps/Runtime Guardrail	리소스 쿼터(Quota) 기반 토큰 폭주 강제 중단	HM	publish	required	X
CTRL-2-3-5	2.3.5	AgentOps	AgentOps/Runtime Guardrail	외부 API 호출 범위 및 도메인 화이트리스트 제한 실행	M	publish	required	O
CTRL-2-3-6	2.3.6	AgentOps	AgentOps/Runtime Guardrail	Agent 행동 규칙 실시간 모니터링 및 가이드라인 준수 체크	M	publish	required	O
CTRL-2-3-7	2.3.7	AgentOps	AgentOps/Runtime Guardrail	이상 행동(비정상 호출 패턴 등) 감지 시 즉시 알림 발송	M	publish	required	O
CTRL-2-3-8	2.3.8	AgentOps	AgentOps/Runtime Guardrail	장애 발생 시 사전에 정의된 대체 경로(Fallback) 자동 실행	M	publish	required	O
CTRL-2-3-9	2.3.9	AgentOps	AgentOps/Runtime Guardrail	토큰 사용량 실시간 트래킹 및 테넌트별 쿼터(Quota) 제어	M	publish	required	O
CTRL-2-3-10	2.3.10	AgentOps	AgentOps/Runtime Guardrail	윤리 원칙 기반 출력 자동 검증 (Responsible AI 가이드라인 실행)	MX	publish	target	O
CTRL-2-3-11	2.3.11	AgentOps	AgentOps/Runtime Guardrail	보안 리스크 실시간 감지 및 위협 대응 자동화 (SOAR 연동)	MX	publish	target	O
CTRL-2-3-12	2.3.12	AgentOps	AgentOps/Runtime Guardrail	출력 내용 유해성(Hate, Violence 등) 실시간 시맨틱 검증	SM	publish	recommended	O
CTRL-2-3-13	2.3.13	AgentOps	AgentOps/Runtime Guardrail	시스템 / API 호출 규칙 런타임 강제 적용 및 위반 감시	SM	publish	recommended	O
CTRL-2-3-14	2.3.14	AgentOps	AgentOps/Runtime Guardrail	호출 횟수 / 비용 한도(Budget Cap) 실시간 제어 및 차단	SM	publish	recommended	O
CTRL-2-3-15	2.3.15	AgentOps	AgentOps/Runtime Guardrail	토큰 사용 패턴 기반 이상 징후 조기 예측 및 자동 Kill	SM	publish	recommended	O
CTRL-2-4-1	2.4.1	AgentOps	AgentOps/Execution Verification	Agent 실행 시작 / 종료 및 단계별 상태 기록	HM	create, publish	required	X
CTRL-2-4-2	2.4.2	AgentOps	AgentOps/Execution Verification	실행 결과 기본 규격 검증 (정상 / 오류 판별)	HM	create, publish	required	X
CTRL-2-4-3	2.4.3	AgentOps	AgentOps/Execution Verification	실패 시점 데이터 및 에러 원인 스냅샷 저장	HM	create, publish	required	X
CTRL-2-4-4	2.4.4	AgentOps	AgentOps/Execution Verification	멀티스텝 태스크의 단계별 실행 결과 정밀 검증	M	create, publish	required	O
CTRL-2-4-5	2.4.5	AgentOps	AgentOps/Execution Verification	실행 중 오류 감지 및 지능형 재시도(Retry) 로직 처리	M	create, publish	required	O
CTRL-2-4-6	2.4.6	AgentOps	AgentOps/Execution Verification	Agent 등록·변경·폐기 생애주기(Lifecycle) 절차 검증	M	create, publish	required	O
CTRL-2-4-7	2.4.7	AgentOps	AgentOps/Execution Verification	실행 결과 전체 이력 저장 및 다차원 조건 조회	M	create, publish	required	O
CTRL-2-4-8	2.4.8	AgentOps	AgentOps/Execution Verification	실행 계보(Lineage) 추적 (어떤 데이터, 정책, 모델 기반으로 실행됐는지 기록)	MX	create, publish	target	O
CTRL-2-4-9	2.4.9	AgentOps	AgentOps/Execution Verification	자동 회귀 테스트(Agent/정책 업데이트 후 실행 품질 및 안전성 자동 검증)	MX	create, publish	target	O
CTRL-2-4-10	2.4.10	AgentOps	AgentOps/Execution Verification	결과물에 대한 AI 워터마킹 및 위변조 방지 기술 적용	MX	create, publish	target	O
CTRL-2-4-11	2.4.11	AgentOps	AgentOps/Execution Verification	사전 리스크 평가 결과 기반 실행 허용 / 차단 결정 로직	SM	create, publish	recommended	O
CTRL-2-4-12	2.4.12	AgentOps	AgentOps/Execution Verification	실행 전 Agent 스펙 검증	SM	create, publish	recommended	O
CTRL-2-4-13	2.4.13	AgentOps	AgentOps/Execution Verification	A/B 테스트 실행 검증	SM	create, publish	recommended	O
CTRL-2-4-14	2.4.14	AgentOps	AgentOps/Execution Verification	실행 결과의 사실 관계 확인(Fact-check) 및 환각 기초 검증	SM	create, publish	recommended	O
CTRL-2-5-1	2.5.1	AgentOps	AgentOps/End-to-End Observability & Audit	Agent 행동 감사 로그 수집 (대상, 입출력 전문, 사용 툴)	M	publish	required	O
CTRL-2-5-2	2.5.2	AgentOps	AgentOps/End-to-End Observability & Audit	분산 환경에서의 실행 추적(Trace ID) 수집 및 시각화	M	publish	required	O
CTRL-2-5-3	2.5.3	AgentOps	AgentOps/End-to-End Observability & Audit	장애 발생 시 로그 기반 근본 원인 분석(RCA) 지원	M	publish	required	O
CTRL-2-5-4	2.5.4	AgentOps	AgentOps/End-to-End Observability & Audit	정책 변경 및 거버넌스 설정 변경 이력(Change Log) 연동	M	publish	required	O
CTRL-2-5-5	2.5.5	AgentOps	AgentOps/End-to-End Observability & Audit	비용 추적(Cost Observation) 로그 연동 및 리포트 자동 생성	M	publish	required	O
CTRL-2-5-6	2.5.6	AgentOps	AgentOps/End-to-End Observability & Audit	전체 Agent 실행 감사 체계 운영	MX	publish	target	O
CTRL-2-5-7	2.5.7	AgentOps	AgentOps/End-to-End Observability & Audit	실행 데이터 기반 리스크 예측 모델 운영	MX	publish	target	O
CTRL-2-5-8	2.5.8	AgentOps	AgentOps/End-to-End Observability & Audit	규정 준수 감사 리포트 자동 생성 및 외부 기관 제출용 증빙 지원	MX	publish	target	O
CTRL-2-5-9	2.5.9	AgentOps	AgentOps/End-to-End Observability & Audit	조직 전체 운영 인텔리전스 대시보드	MX	publish	target	O
CTRL-2-5-10	2.5.10	AgentOps	AgentOps/End-to-End Observability & Audit	전체 실행 흐름 시각화 (DAG 뷰 호출 체인 실시간 추적)	SM	publish	recommended	O
CTRL-2-5-11	2.5.11	AgentOps	AgentOps/End-to-End Observability & Audit	테넌트 / Agent / 사용자별 다차원 사용량 집계 대시보드	SM	publish	recommended	O
CTRL-2-5-12	2.5.12	AgentOps	AgentOps/End-to-End Observability & Audit	이상 패턴 자동 감지 및 알림 (비정상 호출 빈도, 비용 급증)	SM	publish	recommended	O
CTRL-2-5-13	2.5.13	AgentOps	AgentOps/End-to-End Observability & Audit	정책 준수 여부에 대한 감사 리포트 자동 생성 및 배포	SM	publish	recommended	O
CTRL-2-5-14	2.5.14	AgentOps	AgentOps/End-to-End Observability & Audit	감사 로그 내 민감 정보 마스킹 및 개인정보 보호 규정(GDPR 등) 준수 검증	SM	publish	recommended	O
CTRL-2-5-15	2.5.15	AgentOps	AgentOps/End-to-End Observability & Audit	실행 로그 기본 수집 (ID, 시간, 입출력 전문)	HM	publish	required	X
CTRL-2-5-16	2.5.16	AgentOps	AgentOps/End-to-End Observability & Audit	로그 변경 불가 처리 (Immutable Log / 무결성 보장)	HM	publish	required	X
CTRL-2-5-17	2.5.17	AgentOps	AgentOps/End-to-End Observability & Audit	감사 편의를 위한 테넌트/Agent별 로그 인덱싱	HM	publish	required	X
